geoid,tract_id,full_fips,state,county,total_population,median_income,median_home_value,education_rate,homeowner_rate,remote_work_rate,population_density,latitude,longitude,population_cluster,economic_cluster,education_cluster,geographic_cluster,comprehensive_cluster
37067003106,003106,37067003106,NC,FORSYTH,3717,70208,195400,0.146085552865214,0.930635838150289,0.0228679042238364,622327075700.815,36.2326834,-80.1037472,0,1,1,3,2
37067003107,003107,37067003107,NC,FORSYTH,4168,78211,247600,0.200335892514395,0.671981776765376,0.0263915547024952,2527986615480.2007,36.1484335,-80.0931188,1,1,1,1,2
37067003108,003108,37067003108,NC,FORSYTH,3650,36574,-666666666,0.117534246575342,0.678783873099802,0.00219178082191781,4551154324982.337,36.1503883,-80.0523665,1,4,1,1,2
37067003201,003201,37067003201,NC,FORSYTH,5213,79538,258100,0.292729714176098,0.73184102329831,0.0310761557644351,7430662920613.417,36.1238802,-80.0897987,2,2,2,1,0
37067003202,003202,37067003202,NC,FORSYTH,4290,52273,206400,0.222843822843823,0.603579175704989,0.0491841491841492,4716560936633.981,36.1225268,-80.0574823,1,3,1,1,2
37067003307,003307,37067003307,NC,FORSYTH,4033,74156,248700,0.232829159434664,0.616635397123202,0.046367468385817,5609876874135.362,36.1013733,-80.1014698,1,3,1,1,2
37067003308,003308,37067003308,NC,FORSYTH,8350,98000,215000,0.211497005988024,0.864501312335958,0.0773652694610778,5962423536555.259,36.0934558,-80.125362,2,0,2,1,3
37067003309,003309,37067003309,NC,FORSYTH,5438,52635,172500,0.139941154836337,0.721977484092022,0.032916513424053,3664915990954.6494,36.089206,-80.1737012,0,1,1,1,2
37067003310,003310,37067003310,NC,FORSYTH,4883,73510,166800,0.168543927913168,0.809974747474748,0.0428015564202335,6708391898014.544,36.0741018,-80.1529227,1,3,1,1,2
37067003311,003311,37067003311,NC,FORSYTH,2137,81667,209900,0.202152550304165,0.905913978494624,0.0318203088441741,3739683399978.585,36.0600528,-80.1269709,1,1,1,1,2
37067003312,003312,37067003312,NC,FORSYTH,4067,66413,230100,0.247110892549791,0.645444566410538,0.067863289894271,1959370688850.0554,36.0596689,-80.0901788,1,3,2,1,2
37067003313,003313,37067003313,NC,FORSYTH,1392,80714,204500,0.160201149425287,0.841666666666667,0.0272988505747126,978717595348.5995,36.0279627,-80.0681912,1,1,1,1,2
37067003314,003314,37067003314,NC,FORSYTH,3188,78806,176900,0.205457967377666,0.67979341510652,0.0310539523212045,2856527119128.557,36.067314,-80.0549305,1,1,1,1,2
37067003315,003315,37067003315,NC,FORSYTH,3595,47746,221700,0.162447844228095,0.461857810067462,0.0261474269819193,3241751811244.0273,36.0966245,-80.066387,1,1,1,1,2
37067003402,003402,37067003402,NC,FORSYTH,3138,62115,217600,0.18546845124283,0.824823943661972,0.0254939451880178,1513812571511.7556,36.0388637,-80.1437212,1,1,1,1,2
37067003403,003403,37067003403,NC,FORSYTH,2429,36089,141200,0.170852202552491,0.359726295210166,0.00988060930424043,3187554345365.619,36.0576259,-80.1859501,1,1,1,5,2
37067003404,003404,37067003404,NC,FORSYTH,4407,33500,119300,0.0447016110732925,0.392318244170096,0.011572498298162,9471354042289.143,36.0683381,-80.1940192,1,1,1,5,4
37067003500,003500,37067003500,NC,FORSYTH,8393,38844,170300,0.121172405576075,0.549675657220895,0.0123912784463243,5022383761504.025,36.036302,-80.203143,2,2,1,5,0
37067003600,003600,37067003600,NC,FORSYTH,7531,67975,157300,0.156818483601115,0.662071681764474,0.0476696321869606,4575142194482.435,36.0191245,-80.2425765,2,3,2,4,3
37067003701,003701,37067003701,NC,FORSYTH,4426,33073,113700,0.161319475824672,0.223282442748092,0.0411206507004067,8135907679741.066,36.0559665,-80.2697237,3,1,1,5,0
37067003702,003702,37067003702,NC,FORSYTH,5798,70784,151300,0.150569161779924,0.739488117001828,0.0081062435322525,10388502238648.64,36.0354646,-80.2773192,2,1,1,4,0
37067003703,003703,37067003703,NC,FORSYTH,7836,64973,190200,0.269525267993874,0.627886056971514,0.0731240428790199,6311861040967.206,36.0117087,-80.2816743,2,0,2,4,3
37067003803,003803,37067003803,NC,FORSYTH,4265,58750,173100,0.282766705744431,0.734892787524366,0.105978898007034,2831799719852.62,36.0179795,-80.3174689,1,0,2,4,3
37067003804,003804,37067003804,NC,FORSYTH,4588,56854,162300,0.339145597210113,0.591813312930375,0.0481691368788143,2861279810171.6895,36.037092,-80.3194362,2,3,2,4,3
37067003805,003805,37067003805,NC,FORSYTH,6411,56186,197800,0.252534705974107,0.469639794168096,0.078302916861644,8798848157074.342,36.0643036,-80.3251997,2,0,2,4,3
37067003806,003806,37067003806,NC,FORSYTH,3486,63221,205500,0.216293746414228,0.836752136752137,0.0430292598967298,4740935438540.986,36.0433639,-80.3451379,1,3,1,4,2
37067003903,003903,37067003903,NC,FORSYTH,4342,42969,124800,0.173422385997236,0.419881305637982,0.0191156149239982,11980665534637.271,36.0831166,-80.3190051,3,1,1,5,0
37067003904,003904,37067003904,NC,FORSYTH,6723,68156,227800,0.312063067083147,0.482588699080158,0.0815112301056076,7697106126691.505,36.0705939,-80.3556017,2,0,3,4,3
37067003905,003905,37067003905,NC,FORSYTH,4826,50946,190400,0.289266473269789,0.33698296836983,0.0352258599254041,16859971368129.611,36.0904548,-80.3240156,3,1,2,5,0
37067003906,003906,37067003906,NC,FORSYTH,3493,133017,349700,0.543658746063556,0.946824224519941,0.0644145433724592,8107035671761.054,36.1013163,-80.322602,1,3,0,5,1
37067003908,003908,37067003908,NC,FORSYTH,3683,147500,438600,0.518327450448004,0.926612903225806,0.0765680152049959,6601661186239.1,36.11267,-80.336836,1,0,0,0,1
37067003909,003909,37067003909,NC,FORSYTH,3737,89394,229800,0.457586299170458,0.835487661574618,0.0620818838640621,8651361983662.031,36.0962361,-80.3470823,1,3,0,5,1
