precinct,county,area_km2,perimeter_km,shape_complexity,longitude,latitude,precinct_political,total_votes_sum,avg_votes_per_contest,num_contests,dem_pct,rep_pct,other_pct,precinct_flippable,dem_votes,oppo_votes,dem_margin,dva_pct_needed,total_votes,dem_vote_pct,competitiveness,flippability_score,comprehensive_cluster
607,FORSYTH,31.240667823238702,25.9382957876837,1309.1106375790216,-80.28892459023164,36.06292139299727,607,146312,592.3562753036438,247,35.62753036437247,30.364372469635626,34.0080971659919,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
701,FORSYTH,23.928882239750898,29.5899608110332,1706.3898208900407,-80.28665887077173,36.094565948443716,701,97962,390.28685258964146,251,35.45816733067729,31.47410358565737,33.067729083665334,701,2440.0,2638.0,-66.0,0.134529631,5078.0,48.050413548641195,98.05041354864119,497.8999999999999,2
702,FORSYTH,20.4554530163623,22.712448282921,1416.623586318384,-80.28287671227184,36.08575246720161,702,104747,438.27196652719664,239,35.98326359832636,31.799163179916317,32.21757322175732,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
703,FORSYTH,12.4872598379328,16.2946041769377,1300.7843668553546,-80.27122004664928,36.0850732872851,703,85473,357.6276150627615,239,35.98326359832636,31.799163179916317,32.21757322175732,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
704,FORSYTH,18.280200442201398,20.7052501417911,1366.1081204193115,-80.27432694261562,36.0749121499958,704,124831,522.3054393305439,239,35.98326359832636,31.799163179916317,32.21757322175732,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
705,FORSYTH,70.74437015514,49.7847969284546,1669.728522083559,-80.31016527308095,36.06886928445803,705,145936,610.6108786610879,239,35.98326359832636,31.799163179916317,32.21757322175732,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
706,FORSYTH,21.225991193040098,20.2279572294241,1238.5487485006088,-80.31748863293625,36.083779409861684,706,74084,309.97489539748955,239,35.98326359832636,31.799163179916317,32.21757322175732,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
707,FORSYTH,28.5198974257695,29.7226009927384,1570.0298150083038,-80.30236576420154,36.085427440919155,707,87954,358.9959183673469,245,35.51020408163265,31.83673469387755,32.6530612244898,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
708,FORSYTH,104.138706794281,49.3509102924221,1364.2191627466166,-80.34406710019263,36.04549200712241,708,269781,1124.0875,240,35.833333333333336,32.083333333333336,32.083333333333336,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
709,FORSYTH,155.456024121273,64.6227159382006,1462.0980447202023,-80.3235409442535,36.03537403975203,709,197928,794.8915662650602,249,35.34136546184739,30.923694779116467,33.734939759036145,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
801,FORSYTH,28.234710502189902,26.5588431137018,1409.9786997982262,-80.30168200474498,36.123079280573414,801,90652,382.4978902953587,237,36.28691983122363,32.48945147679325,31.223628691983123,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
802,FORSYTH,30.9864028519443,27.776764709406002,1407.6385323909442,-80.28815003731135,36.11721952995543,802,118587,500.36708860759495,237,35.86497890295359,32.91139240506329,31.223628691983123,802,6882.0,7861.0,-89.0,0.44775285218181815,14743.0,46.67978023468765,96.67978023468766,1425.35,2
803,FORSYTH,25.280678370642402,23.138717337761403,1298.1951642229553,-80.28670732113414,36.1055569155602,803,123970,523.0801687763714,237,35.86497890295359,32.91139240506329,31.223628691983123,803,12021.0,13533.0,-79.57894736842105,0.39661276065263157,25554.0,47.04155905142052,97.04155905142052,2479.8,2
804,FORSYTH,23.0377496354144,30.0590153669703,1766.647044995875,-80.31084278760156,36.106624584369136,804,90431,381.56540084388183,237,35.86497890295359,32.91139240506329,31.223628691983123,804,2450.0,2689.0,-47.8,0.35230671199999997,5139.0,47.6746448725433,97.6746448725433,501.95,2
805,FORSYTH,32.4961971529996,30.8639153660477,1527.3192196898872,-80.33076692310968,36.10191659838096,805,174375,735.7594936708861,237,35.86497890295359,32.91139240506329,31.223628691983123,805,4617.0,4775.0,-52.666666666666664,0.09945168066666667,9392.0,49.15885860306644,99.15885860306645,931.3000000000001,2
806,FORSYTH,37.3986921567876,34.391493150276595,1586.4189616811402,-80.31339405469731,36.09509193592276,806,129754,547.4852320675105,237,35.86497890295359,32.91139240506329,31.223628691983123,806,8589.0,9399.0,-67.5,0.32101793333333334,17988.0,47.74849899933289,97.7484989993329,1758.3000000000002,2
807,FORSYTH,29.0330121384549,30.9703347860106,1621.4177395113372,-80.35431050720615,36.08461476188296,807,132771,555.5271966527197,239,35.56485355648535,33.47280334728033,30.962343096234306,807,8802.0,9426.0,-52.0,0.2951436265833333,18228.0,48.28834759710336,98.28834759710335,1791.6,2
808,FORSYTH,37.7895564859655,37.0384815455118,1699.6611368958884,-80.33504285310386,36.08204818714406,808,195988,796.69918699187,246,35.36585365853659,32.113821138211385,32.52032520325203,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
