county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed,strategic_tier,priority_score
FORSYTH,806,US HOUSE OF REPRESENTATIVES DISTRICT 05,2022-11-08,613,595,0,1208,DEM,18,1.49,1.49,1.57,Tier 3: Medium Priority (1.0-2.0%),0.7597484276729559
FORSYTH,806,NC LIEUTENANT GOVERNOR,2020-11-03,808,784,0,1592,DEM,24,1.51,1.51,1.57,Tier 3: Medium Priority (1.0-2.0%),0.9888198757763975
FORSYTH,34,NC GOVERNOR,2024-11-05,872,846,0,1718,DEM,26,1.51,1.51,1.57,Tier 3: Medium Priority (1.0-2.0%),1.067080745341615
FORSYTH,802,NC COURT OF APPEALS JUDGE SEAT 09,2022-11-08,618,599,0,1217,DEM,19,1.56,1.56,1.64,Tier 3: Medium Priority (1.0-2.0%),0.7331325301204819
FORSYTH,806,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2020-11-03,799,774,0,1573,DEM,25,1.59,1.59,1.65,Tier 3: Medium Priority (1.0-2.0%),0.9307692307692306
FORSYTH,908,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 04,2020-11-03,1197,1159,0,2356,DEM,38,1.61,1.61,1.65,Tier 3: Medium Priority (1.0-2.0%),1.3777777777777775
FORSYTH,805,NC COMMISSIONER OF AGRICULTURE,2024-11-05,1039,1006,0,2045,DEM,33,1.61,1.61,1.66,Tier 3: Medium Priority (1.0-2.0%),1.1959064327485378
FORSYTH,52,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,503,487,0,990,DEM,16,1.62,1.62,1.71,Tier 3: Medium Priority (1.0-2.0%),0.5755813953488371
FORSYTH,807,US HOUSE OF REPRESENTATIVES DISTRICT 10,2024-11-05,741,717,0,1458,DEM,24,1.65,1.65,1.71,Tier 3: Medium Priority (1.0-2.0%),0.8331428571428571
FORSYTH,74,US HOUSE OF REPRESENTATIVES DISTRICT 10,2020-11-03,1429,1382,0,2811,DEM,47,1.67,1.67,1.71,Tier 3: Medium Priority (1.0-2.0%),1.588135593220339
FORSYTH,802,NC COURT OF APPEALS JUDGE SEAT 05,2020-11-03,666,644,0,1310,DEM,22,1.68,1.68,1.75,Tier 3: Medium Priority (1.0-2.0%),0.7359550561797754
FORSYTH,805,NC DISTRICT COURT JUDGE DISTRICT 31 SEAT 10,2024-11-05,1041,1006,0,2047,DEM,35,1.71,1.71,1.76,Tier 3: Medium Priority (1.0-2.0%),1.1309392265193372
FORSYTH,805,NC TREASURER,2020-11-03,1033,998,0,2031,DEM,35,1.72,1.72,1.77,Tier 3: Medium Priority (1.0-2.0%),1.115934065934066
