county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed,strategic_tier,priority_score,dva_votes_added,new_dem_votes,new_total_votes,new_vote_diff,flipped
FORSYTH,908,NC COURT OF APPEALS JUDGE SEAT 06,2020-11-03,1154,1189,0,2343,REP,35,1.49,-1.49,1.54,Tier 3: Medium Priority (1.0-2.0%),1.4735849056603774,70,1224,2413,-35,True
FORSYTH,701,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2020-11-03,1580,1629,0,3209,REP,49,1.53,-1.53,1.56,Tier 3: Medium Priority (1.0-2.0%),1.968711656441718,96,1676,3305,-47,True
FORSYTH,77,US PRESIDENT,2024-11-05,1140,1176,0,2316,REP,36,1.55,-1.55,1.6,Tier 3: Medium Priority (1.0-2.0%),1.4036363636363633,69,1209,2385,-33,True
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 09,2022-11-08,603,622,0,1225,REP,19,1.55,-1.55,1.63,Tier 3: Medium Priority (1.0-2.0%),0.7424242424242423,37,640,1262,-18,True
FORSYTH,131,US PRESIDENT,2024-11-05,1514,1562,0,3076,REP,48,1.56,-1.56,1.59,Tier 3: Medium Priority (1.0-2.0%),1.853012048192771,92,1606,3168,-44,True
FORSYTH,802,NC COMMISSIONER OF AGRICULTURE,2024-11-05,690,712,0,1402,REP,22,1.57,-1.57,1.64,Tier 3: Medium Priority (1.0-2.0%),0.8395209580838322,42,732,1444,-20,True
FORSYTH,909,DISTRICT ATTORNEY DISTRICT 31,2022-11-08,396,409,0,805,REP,13,1.61,-1.61,1.73,Tier 3: Medium Priority (1.0-2.0%),0.47076023391812866,24,420,829,-11,True
FORSYTH,123,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2020-11-03,3113,3216,0,6329,REP,103,1.63,-1.63,1.64,Tier 3: Medium Priority (1.0-2.0%),3.6583815028901734,190,3303,6519,-87,True
FORSYTH,131,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2022-11-08,1049,1087,0,2136,REP,38,1.78,-1.78,1.82,Tier 3: Medium Priority (1.0-2.0%),1.1361702127659574,64,1113,2200,-26,True
FORSYTH,803,NC COURT OF APPEALS JUDGE SEAT 11,2022-11-08,580,601,0,1181,REP,21,1.78,-1.78,1.86,Tier 3: Medium Priority (1.0-2.0%),0.6281914893617021,35,615,1216,-14,True
FORSYTH,67,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,687,712,0,1399,REP,25,1.79,-1.79,1.86,Tier 3: Medium Priority (1.0-2.0%),0.7402116402116402,42,729,1441,-17,True
FORSYTH,132,NC SECRETARY OF STATE,2020-11-03,1729,1793,0,3522,REP,64,1.82,-1.82,1.84,Tier 3: Medium Priority (1.0-2.0%),1.8343749999999996,106,1835,3628,-42,True
FORSYTH,77,US SENATE,2022-11-08,723,750,0,1473,REP,27,1.83,-1.83,1.9,Tier 3: Medium Priority (1.0-2.0%),0.7632124352331606,44,767,1517,-17,True
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 09,2022-11-08,584,606,0,1190,REP,22,1.85,-1.85,1.93,Tier 3: Medium Priority (1.0-2.0%),0.6102564102564102,36,620,1226,-14,True
FORSYTH,132,NC STATE SENATE DISTRICT 32,2022-11-08,1293,1343,0,2636,REP,50,1.9,-1.9,1.93,Tier 3: Medium Priority (1.0-2.0%),1.318,79,1372,2715,-29,True
