county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed
FORSYTH,803,NC HOUSE OF REPRESENTATIVES DISTRICT 072,2022-11-08,600,594,0,1194,DEM,6,0.5,0.5,0.59
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 15,2024-11-05,777,769,0,1546,DEM,8,0.52,0.52,0.58
FORSYTH,132,US PRESIDENT,2024-11-05,1930,1909,0,3839,DEM,21,0.55,0.55,0.57
FORSYTH,55,NC ATTORNEY GENERAL,2024-11-05,1617,1635,0,3252,REP,18,0.55,-0.55,0.58
FORSYTH,32,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,1331,1346,0,2677,REP,15,0.56,-0.56,0.6
FORSYTH,809,NC TREASURER,2020-11-03,1157,1170,0,2327,REP,13,0.56,-0.56,0.6
FORSYTH,707,CITY OF WINSTON-SALEM COUNCIL MEMBER WEST WARD,2024-11-05,266,263,0,529,DEM,3,0.57,0.57,0.75
FORSYTH,807,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2024-11-05,2033,2010,0,4043,DEM,23,0.57,0.57,0.59
FORSYTH,16,NC LIEUTENANT GOVERNOR,2024-11-05,1128,1115,0,2243,DEM,13,0.58,0.58,0.62
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 14,2024-11-05,782,773,0,1555,DEM,9,0.58,0.58,0.64
FORSYTH,75,FORSYTH COUNTY SHERIFF,2022-11-08,248,245,0,493,DEM,3,0.61,0.61,0.81
FORSYTH,806,NC HOUSE OF REPRESENTATIVES DISTRICT 072,2020-11-03,784,774,0,1558,DEM,10,0.64,0.64,0.71
FORSYTH,55,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,1591,1612,0,3203,REP,21,0.66,-0.66,0.69
FORSYTH,908,NC COMMISSIONER OF AGRICULTURE,2024-11-05,1150,1135,0,2285,DEM,15,0.66,0.66,0.7
FORSYTH,804,NC DISTRICT COURT JUDGE DISTRICT 21 SEAT 08,2020-11-03,518,525,0,1043,REP,7,0.67,-0.67,0.77
FORSYTH,73,FORSYTH COUNTY SHERIFF,2022-11-08,1121,1106,0,2227,DEM,15,0.67,0.67,0.72
FORSYTH,908,NC COURT OF APPEALS JUDGE SEAT 07,2020-11-03,1165,1181,0,2346,REP,16,0.68,-0.68,0.72
FORSYTH,807,NC COMMISSIONER OF INSURANCE,2020-11-03,805,816,0,1621,REP,11,0.68,-0.68,0.74
FORSYTH,135,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2024-11-05,1388,1407,0,2795,REP,19,0.68,-0.68,0.72
FORSYTH,54,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,1119,1136,0,2255,REP,17,0.75,-0.75,0.8
FORSYTH,14,FORSYTH COUNTY SHERIFF,2022-11-08,661,651,0,1312,DEM,10,0.76,0.76,0.84
FORSYTH,807,NC TREASURER,2024-11-05,772,784,0,1556,REP,12,0.77,-0.77,0.83
FORSYTH,71,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,1533,1557,0,3090,REP,24,0.78,-0.78,0.81
FORSYTH,908,NC COURT OF APPEALS JUDGE SEAT 04,2020-11-03,1182,1163,0,2345,DEM,19,0.81,0.81,0.85
FORSYTH,13,CITY OF WINSTON-SALEM MAYOR,2020-11-03,553,562,0,1115,REP,9,0.81,-0.81,0.9
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 13,2020-11-03,786,773,0,1559,DEM,13,0.83,0.83,0.9
FORSYTH,62,NC GOVERNOR,2024-11-05,756,769,0,1525,REP,13,0.85,-0.85,0.92
FORSYTH,132,FORSYTH COUNTY BOARD OF EDUCATION AT-LARGE,2022-11-08,3610,3673,0,7283,REP,63,0.87,-0.87,0.88
FORSYTH,123,NC COMMISSIONER OF AGRICULTURE,2020-11-03,1227,1205,0,2432,DEM,22,0.9,0.9,0.94
FORSYTH,72,NC GOVERNOR,2020-11-03,2363,2406,0,4769,REP,43,0.9,-0.9,0.92
FORSYTH,806,NC DISTRICT COURT JUDGE DISTRICT 21 SEAT 08,2020-11-03,762,776,0,1538,REP,14,0.91,-0.91,0.97
FORSYTH,74,NC DISTRICT COURT JUDGE DISTRICT 21 SEAT 08,2020-11-03,1359,1385,0,2744,REP,26,0.95,-0.95,0.98
FORSYTH,806,NC COMMISSIONER OF LABOR,2020-11-03,789,774,0,1563,DEM,15,0.96,0.96,1.02
FORSYTH,802,NC COURT OF APPEALS JUDGE SEAT 07,2020-11-03,650,663,0,1313,REP,13,0.99,-0.99,1.06
FORSYTH,132,US SENATE,2022-11-08,1293,1319,0,2612,REP,26,1.0,-1.0,1.03
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 10,2022-11-08,600,588,0,1188,DEM,12,1.01,1.01,1.09
FORSYTH,68,FORSYTH COUNTY SHERIFF,2022-11-08,784,768,0,1552,DEM,16,1.03,1.03,1.09
FORSYTH,54,NC GOVERNOR,2020-11-03,1105,1128,0,2233,REP,23,1.03,-1.03,1.07
FORSYTH,123,NC COURT OF APPEALS JUDGE SEAT 09,2022-11-08,827,810,0,1637,DEM,17,1.04,1.04,1.1
FORSYTH,131,NC AUDITOR,2024-11-05,1455,1486,0,2941,REP,31,1.05,-1.05,1.09
